,Property ID,Latitude,Longitude
57600,ab-29636365,33.51481,-112.0773
57601,ab-29637076,32.254,-110.928
57602,ab-29638289,33.37108,-111.74492
57603,ab-296389,32.241,-110.894
57604,ab-2964352,32.29885511049975,-111.07620806859671
57605,ab-29644765,33.39544,-111.7318
57606,ab-29647508,32.27603,-110.89611
57607,ab-29649684,33.6401,-111.95886000000002
57608,ab-29649854,33.49905000762665,-112.0588146303298
57609,ab-29650278,33.59732,-111.86615
57610,ab-29650814,33.55867,-112.0983
57611,ab-29652096,33.62465,-112.42422
57612,ab-29652805,33.39499031991974,-111.87227665320556
57613,ab-29653147,33.48741,-111.91604
57614,ab-29653310,33.69512,-111.8828
57615,ab-29653863,33.3035,-112.05103
57616,ab-29654276,32.86001,-112.14212
57617,ab-29654390,32.25809,-110.95585
57618,ab-29656466,32.241,-110.964
57619,ab-29656514,33.49093,-112.10539
57620,ab-29657037,33.49642,-112.37141
57621,ab-29657040,34.94304,-111.62481
57622,ab-29657310,33.44351,-111.92148
57623,ab-29657357,33.50183,-111.91736000000002
57624,ab-29657384,36.99625,-111.55549
57625,ab-29657738,33.64034,-111.96572
57626,ab-29658277,32.35572,-111.12615
57627,ab-29659882,34.74077,-111.9112
57628,ab-29660135,33.66273,-112.17629
57629,ab-2966080,33.61378,-111.89121000000002
57630,ab-29661147,33.379870000000004,-112.15189
57631,ab-29661593,33.72723,-112.10888
57632,ab-29661932,33.394,-111.731
57633,ab-29662607,35.09568,-111.6981
57634,ab-29662851,33.39349,-111.73246
57635,ab-29662940,33.392,-111.83471000000002
57636,ab-29674510,33.62963,-111.85836
57637,ab-29675393,33.618759999999995,-111.74739
57638,ab-29675395,33.54452,-111.90373
57639,ab-29675398,33.54598,-111.92504
57640,ab-29676527,33.63515,-112.024
57641,ab-29679549,32.24658,-110.82718
57642,ab-29680811,33.06823,-112.04863
57643,ab-29681810,33.22469,-111.70059
57644,ab-29681812,34.46535,-112.39693
57645,ab-29681816,34.46563,-112.3982
57646,ab-29683195,34.257490000000004,-114.13133
57647,ab-29683933,32.315,-110.849
57648,ab-29684309,34.861,-111.79
57649,ab-29684902,32.26945,-110.90933
57650,ab-29686727,33.42633,-111.88179
57651,ab-29686963,33.6147,-111.93215
57652,ab-29687152,33.573,-111.73875
57653,ab-29689980,33.46056,-112.06242
57654,ab-29690900,34.57056,-112.37032
57655,ab-2970093,32.37377130665321,-111.04316028955208
57656,ab-29702039,34.23498,-110.05823
57657,ab-29702634,33.79237,-112.12153
57658,ab-29702732,33.49672,-111.93392
57659,ab-29702922,32.21094,-110.88491
57660,ab-29705107,33.53576,-112.05461
57661,ab-29705226,32.3116,-110.84734
57662,ab-29705228,33.46423,-111.68791
57663,ab-29705669,33.50166,-112.04844
57664,ab-29705726,33.45856,-112.06223
57665,ab-29705830,35.19894,-111.59183
57666,ab-29705892,34.87101,-111.79256
57667,ab-29706320,33.48822,-111.89351
57668,ab-29707537,33.5346,-112.03695
57669,ab-29707659,35.23392,-111.66304
57670,ab-29708079,33.49694,-112.03923
57671,ab-29708080,33.47149,-112.23976
57672,ab-29708082,33.39119,-111.83456
57673,ab-29708083,33.49163,-111.90883
57674,ab-29708225,33.67375,-112.20581
57675,ab-29708229,33.46031,-111.62324
57676,ab-29709342,33.65,-112.227
57677,ab-29711208,33.42474,-112.31553
57678,ab-29713019,33.38842,-111.77929
57679,ab-29728050,33.63256,-112.3825
57680,ab-29729976,33.52711,-112.06475
57681,ab-29730314,33.63479,-112.41679
57682,ab-29731196,33.61421,-111.94236
57683,ab-29731244,33.66018,-112.16162
57684,ab-29731587,33.45538,-112.88013
57685,ab-29731858,35.61400000000001,-112.126
57686,ab-29731899,33.625,-111.938
57687,ab-29732711,33.45926725980277,-111.93250016830852
57688,ab-29732728,33.65602424998962,-111.8794803490132
57689,ab-29733002,33.332770000000004,-111.58627
57690,ab-29733311,33.49663,-111.91758
57691,ab-29733334,34.873259999999995,-111.76084
57692,ab-29734117,33.64842,-112.09991
57693,ab-29735154,33.461,-111.929
57694,ab-29735877,33.30823,-112.02382
57695,ab-29735982,32.291059999999995,-110.90272
57696,ab-29736548,32.213294261868874,-110.82164916412022
57697,ab-29736651,33.53042,-111.97871
57698,ab-29737282,35.09446,-113.868
57699,ab-29737420,33.49018,-111.93661000000002
57700,ab-29738124,33.52321,-111.91474
57701,ab-29740438,32.25853,-110.9569
57702,ab-29742006,35.18434,-111.68993
57703,ab-29742384,33.426,-111.582
57704,ab-29742847,33.09189162822051,-111.50452699958448
57705,ab-29742935,33.581697850946576,-112.06135460311717
57706,ab-29744396,33.459959999999995,-112.06185
57707,ab-29745839,32.209790000000005,-111.04416
57708,ab-29745855,34.39027,-110.52892
57709,ab-29750613,33.53427010015743,-112.20847795715429
57710,ab-29752491,33.80180697420792,-112.12456693621932
57711,ab-29755033,33.67411,-112.05695
57712,ab-29755108,34.78082,-111.76673
57713,ab-29755529,32.233000000000004,-110.964
57714,ab-29757011,34.86865,-111.82167
57715,ab-29758078,32.44339,-110.97401
57716,ab-29758257,33.583,-111.758
57717,ab-29759220,33.40117,-111.90088
57718,ab-29759414,33.5832,-112.02978
57719,ab-29759418,33.73643,-111.78338
57720,ab-29759438,33.65023,-111.96155
57721,ab-29759495,33.315290000000005,-111.82862
57722,ab-29759568,32.22712,-110.87551
57723,ab-29759836,34.11744,-109.90655
57724,ab-29760770,32.21828,-110.95611
57725,ab-29760840,34.19919,-114.22295
57726,ab-29761260,33.497,-111.897
57727,ab-29761262,33.451699086858696,-111.6940283588006
57728,ab-29763874,32.3325,-111.20088
57729,ab-29763965,33.559670000000004,-112.05795
57730,ab-29764178,33.61768,-112.03283
57731,ab-29766304,33.619,-112.03457
57732,ab-29770638,33.36936,-111.82895
57733,ab-29773490,33.48753,-111.97129
57734,ab-2977358,33.46903,-111.9186
57735,ab-29774696,34.86886,-111.80776000000002
57736,ab-29774971,33.530770000000004,-111.90518
57737,ab-29775197,32.36761,-111.11857
57738,ab-29775840,33.37464,-111.79862
57739,ab-29776549,34.441790000000005,-110.06405
57740,ab-29777039,34.57083,-112.49184
57741,ab-29779178,35.23477000000001,-111.56986
57742,ab-29780349,33.498855294364965,-111.99075327125892
57743,ab-29780629,33.50001,-112.00265
57744,ab-29781461,32.32369,-110.87279
57745,ab-29789442,31.38125,-110.69259
57746,ab-2979,32.28632,-110.73445
57747,ab-29793473,33.526070000000004,-112.05489
57748,ab-29793671,33.493,-111.913
57749,ab-29795727,32.2659,-110.96661
57750,ab-29796714,33.491890000000005,-111.90206
57751,ab-2979687,33.13308609877355,-111.5383742304198
57752,ab-29797923,34.83545,-111.77849
57753,ab-29801179,33.61315,-111.93098
57754,ab-29801539,33.65601222884942,-111.88000225573904
57755,ab-29801605,33.640570000000004,-112.03431
57756,ab-29803130,34.48012,-114.34371000000002
57757,ab-29803200,33.592,-111.88834
57758,ab-29804010,33.54257,-112.12086
57759,ab-29804185,32.34173,-110.99591
57760,ab-29805437,32.89216,-111.72665
57761,ab-29805909,33.62516,-111.95009
57762,ab-29818937,33.625,-112.229
57763,ab-29819424,34.831,-111.859
57764,ab-29821059,33.508759999999995,-112.28062
57765,ab-29822955,33.33527,-111.99228
57766,ab-29823276,33.42696,-111.88493
57767,ab-29823424,32.282990000000005,-111.00615
57768,ab-29823697,33.5208,-111.90207
57769,ab-29824403,34.159620000000004,-109.95682
57770,ab-29824659,33.59169,-112.12427
57771,ab-29824711,33.42905,-111.72015
57772,ab-29825137,33.475,-112.058
57773,ab-29826127,33.48731,-111.89212
57774,ab-29826332,35.07219,-111.64916
57775,ab-29827099,33.51795,-112.10362
57776,ab-29829354,32.64965,-114.40346
57777,ab-29829402,33.76332,-111.98254
57778,ab-29830025,31.5932,-111.05874
57779,ab-29830145,33.4963488050934,-112.05987733398176
57780,ab-29830466,34.37635,-111.4691
57781,ab-29831112,33.61574,-111.8905
57782,ab-29832261,33.49418,-111.92224
57783,ab-29832633,32.20608,-110.80437
57784,ab-29833137,32.25647,-110.93274
57785,ab-29833390,33.38344,-111.88509
57786,ab-29833983,35.22289,-111.60371
57787,ab-29834198,33.64622,-112.30564
57788,ab-29834783,32.10663,-110.85155
57789,ab-29834890,33.32513,-111.9671
57790,ab-29836264,32.2064,-110.91428
57791,ab-29836526,33.47953,-111.90797
57792,ab-29837349,35.16246,-111.65113
57793,ab-29845031,33.61303,-111.9515
57794,ab-29847915,33.67556,-111.92076000000002
57795,ab-29848964,33.496,-112.017
57796,ab-29849107,34.45284,-114.36874
57797,ab-29849466,33.50059,-111.89446
57798,ab-29849472,35.6522,-112.13679
57799,ab-29849662,33.58019,-112.20078999999998
57800,ab-29850044,34.50199,-114.3526
57801,ab-29851064,33.48875,-111.90309
57802,ab-29851808,33.503,-112.346
57803,ab-29852648,34.70139,-111.97793
57804,ab-29852992,33.50427,-111.92141
57805,ab-2985337,32.23225,-110.96673
57806,ab-29853731,32.31904,-110.97913
57807,ab-29854147,32.24604,-110.95501000000002
57808,ab-29854416,32.24258,-110.80738
57809,ab-29854681,33.64013,-111.96986
57810,ab-29855842,33.50401,-111.92174
57811,ab-29856006,33.63375,-111.86677
57812,ab-29856295,33.48595,-111.67581
57813,ab-29856514,33.57647,-111.90709
57814,ab-29856891,34.49512,-114.28718
57815,ab-29857124,33.47393,-111.99281
57816,ab-29857150,33.46607,-112.05004
57817,ab-29857160,33.399,-111.918
57818,ab-29857347,35.23842,-112.04926
57819,ab-29857723,33.4879,-112.05878
57820,ab-29857911,33.54659,-112.0968
57821,ab-29858494,33.41899,-111.81575
57822,ab-2986038,33.33244979744217,-111.87075246870164
57823,ab-29861518,33.64270525714149,-112.12044848561388
57824,ab-29866486,35.15386154832355,-111.67210474255212
57825,ab-29866783,33.48473,-111.67657
57826,ab-29869030,35.0931,-111.69985
57827,ab-29872087,35.21646,-111.6198
57828,ab-29874244,33.39999,-111.67253
57829,ab-29874658,33.48705,-112.06504
57830,ab-29875961,33.34279,-111.79682
57831,ab-29876260,33.48731,-111.93434
57832,ab-29876940,33.50442,-111.9227
57833,ab-29878461,33.54138,-111.97812
57834,ab-29878937,34.86225,-111.76385
57835,ab-29878942,34.86224,-111.76331
57836,ab-29878944,34.86137,-111.76399
57837,ab-29878949,34.86108,-111.76518
57838,ab-29878953,34.86282,-111.7647
57839,ab-29878959,34.86272,-111.7651
57840,ab-29878962,34.86254,-111.76501
57841,ab-29878965,34.86152,-111.76373
57842,ab-29878967,34.86278,-111.76489
57843,ab-29878969,34.86153,-111.76474
57844,ab-29879036,34.86156,-111.76494
57845,ab-29879041,34.8609,-111.7648
57846,ab-29879043,34.862190000000005,-111.76367
57847,ab-29879046,34.86282,-111.76383
57848,ab-29879048,34.861290000000004,-111.7651
57849,ab-29879053,34.86132,-111.7633
57850,ab-29879059,34.86218,-111.76323
57851,ab-29879062,34.86273,-111.76402
57852,ab-29879076,34.86286,-111.76376
57853,ab-29879082,34.86081,-111.76379
57854,ab-29879087,34.86268,-111.76543999999998
57855,ab-29879089,34.86305,-111.76492
57856,ab-29879093,34.86273,-111.76471
57857,ab-29879096,34.8626,-111.76463
57858,ab-29879097,34.86268,-111.76518
57859,ab-29879099,34.863,-111.76349
57860,ab-29879102,34.86074,-111.76363
57861,ab-29879107,34.86227,-111.76325
57862,ab-29879116,34.86224,-111.76335
57863,ab-29879122,34.8624,-111.76449
57864,ab-29879530,34.86294,-111.76541
57865,ab-29879532,34.86097,-111.76345
57866,ab-29879533,34.86217,-111.7637
57867,ab-29879534,34.86104,-111.76526
57868,ab-29879537,34.86166,-111.76526
57869,ab-29879539,34.86113,-111.76363
57870,ab-29879540,34.86284000000001,-111.76402
57871,ab-29879543,34.8612,-111.76531
57872,ab-29879547,34.86168,-111.76313
57873,ab-29879549,34.86111,-111.76526
57874,ab-29879876,34.86241,-111.76462
57875,ab-29879881,34.86119,-111.76526
57876,ab-29879882,34.86118,-111.76454
57877,ab-29879883,34.861670000000004,-111.76365
57878,ab-29879885,34.86299,-111.76307
57879,ab-29879888,34.86225,-111.76396
57880,ab-29879889,34.8629,-111.76484
57881,ab-29879892,34.86305,-111.76527
57882,ab-29879893,34.86137,-111.76332
57883,ab-29879895,34.86108,-111.76474
57884,ab-29879922,34.86085,-111.76387
57885,ab-29879926,34.86072,-111.76313
57886,ab-29879929,34.86287,-111.76354
57887,ab-29879933,34.86251,-111.76355
57888,ab-29879935,34.86226,-111.76382
57889,ab-29879938,34.861090000000004,-111.7651
57890,ab-29879943,34.86073,-111.76522
57891,ab-29879949,34.86263,-111.76505
57892,ab-29879950,34.86114,-111.76339
57893,ab-29879951,34.86272,-111.7632
57894,ab-29879977,34.86115,-111.76348
57895,ab-29879981,34.861470000000004,-111.7649
57896,ab-29879983,34.86238,-111.76372
57897,ab-29879986,34.86083,-111.76368
57898,ab-29879987,34.86224,-111.76515
57899,ab-29879991,34.86302,-111.76396
57900,ab-29879993,34.86152,-111.76397
57901,ab-29879994,34.862770000000005,-111.76382
57902,ab-29879998,34.86237,-111.76514
57903,ab-29880000,34.86247,-111.76313
57904,ab-29880052,34.86264,-111.76457
57905,ab-29880055,34.8612,-111.76503
57906,ab-29880057,34.86157,-111.7631
57907,ab-29880060,34.86128,-111.76349
57908,ab-29880062,34.8614,-111.76376
57909,ab-29880063,34.86223,-111.76469
57910,ab-29880069,34.861470000000004,-111.76524
57911,ab-29880071,34.86091,-111.76461
57912,ab-29880160,34.86295,-111.76331
57913,ab-29880161,34.86101,-111.76528
57914,ab-29880165,34.86271,-111.76307
57915,ab-29880168,34.86281,-111.76369
57916,ab-29880171,34.86271,-111.76339
57917,ab-29880173,34.861540000000005,-111.76323
57918,ab-29880174,34.86238,-111.7645
57919,ab-29880177,34.86263,-111.76365
57920,ab-29880181,34.86292,-111.76352
57921,ab-29880183,34.86103,-111.76485
57922,ab-29880205,34.86233,-111.76492
57923,ab-29880206,34.86245,-111.76472
57924,ab-29880208,34.861470000000004,-111.76451000000002
57925,ab-29880210,34.86278,-111.76379
57926,ab-29880212,34.86299,-111.764
57927,ab-29880214,34.8629,-111.76372
57928,ab-29880217,34.86218,-111.76309
57929,ab-29880218,34.86075,-111.76393
57930,ab-29880219,34.86242,-111.76399
57931,ab-29880220,34.86215,-111.76472
57932,ab-29880969,33.206,-111.725
57933,ab-29880985,33.593270000000004,-112.39082
57934,ab-29881137,36.91278,-111.46757
57935,ab-29881152,34.85816,-111.81095
57936,ab-29881269,34.94872,-111.65076
57937,ab-29881495,34.93032,-111.73714
57938,ab-2988364,34.46742668778647,-114.33807835256864
57939,ab-29884557,33.380379157490765,-112.17402376266674
57940,ab-29885027,33.424890000000005,-111.95759
57941,ab-29885076,34.46835,-114.32635
57942,ab-29887656,33.67195175247437,-112.01988627948272
57943,ab-29888670,33.54964596745912,-112.24984704428545
57944,ab-29897036,34.47319,-114.31252
57945,ab-2989711,33.45215411894907,-111.69378853701714
57946,ab-29897425,33.8061,-112.12547
57947,ab-2989784,33.4515277425762,-111.6948288375786
57948,ab-29898057,33.50404,-112.0272
57949,ab-29900410,32.32886,-110.88145
