,Property ID,Latitude,Longitude
417600,ab-28108106,39.81272,-105.17354
417601,ab-2810862,40.46186666220844,-106.81459182012924
417602,ab-28108718,39.73278235365291,-105.04802633082772
417603,ab-28109003,39.57733,-105.39545
417604,ab-28109403,39.97885940926253,-105.11334824786856
417605,ab-28109420,39.70091,-104.7968
417606,ab-2810946,40.46309925530242,-106.80756001409578
417607,ab-28109479,39.72204,-104.99381
417608,ab-2810973,39.18559500860192,-106.81663301191216
417609,ab-2810980,40.46399270146925,-106.80955042533328
417610,ab-28110181,39.97757,-105.25721
417611,ab-2811023,40.462040944028,-106.80885367112631
417612,ab-28110876,39.75373,-104.86703
417613,ab-28110964,38.8818,-107.59353
417614,ab-28111649,39.74246,-104.88896
417615,ab-28112944,39.20891637488988,-106.95008238601964
417616,ab-28112945,39.20837863545022,-106.94992780639372
417617,ab-28122837,39.11881,-105.99134
417618,ab-28125554,39.70894000000001,-104.96234
417619,ab-28127327,39.7633,-105.00495
417620,ab-28127718,38.90994,-104.7369
417621,ab-28128308,40.08026,-105.92683
417622,ab-28129722,39.357031697569326,-104.83567031611064
417623,ab-28129813,39.61648,-106.10499
417624,ab-28129875,39.74028,-105.05079
417625,ab-28130181,37.93095,-107.85484
417626,ab-28130271,39.60531,-106.51663
417627,ab-28130420,39.64243,-106.37028
417628,ab-28130421,39.63901,-106.36728
417629,ab-28130456,39.63839,-106.36907
417630,ab-28130529,37.91764000000001,-105.70595
417631,ab-28130779,39.63886,-106.36759
417632,ab-28130791,39.63984,-106.36886
417633,ab-28130812,39.63862,-106.36862
417634,ab-28130855,39.6386,-106.36724
417635,ab-28130902,39.64002,-106.36722
417636,ab-28130907,39.64022,-106.36906
417637,ab-28131169,39.606,-106.516
417638,ab-28131388,39.47402,-106.05398
417639,ab-28131437,38.84534,-104.85688
417640,ab-28131768,39.606,-106.516
417641,ab-28132240,39.606,-106.516
417642,ab-28132284,39.68436945548657,-105.02331359308896
417643,ab-28132630,40.51655,-104.86074
417644,ab-28133039,38.865,-107.002
417645,ab-28133549,39.63958,-106.37227
417646,ab-28134034,40.017135020184405,-105.4016604198146
417647,ab-28134163,39.57365,-106.09195
417648,ab-28134830,40.45979000000001,-105.31212
417649,ab-28135163,40.06357,-105.93135
417650,ab-28135174,39.80293,-105.08261
417651,ab-28135510,38.71195,-106.28683999999998
417652,ab-28135732,38.67558,-105.39134
417653,ab-28136395,39.72432,-105.00077
417654,ab-28136479,39.57627,-106.09352
417655,ab-28136936,39.73732,-105.05151
417656,ab-28137015,38.94558465868096,-104.68510113943692
417657,ab-28137750,39.7857,-104.76224
417658,ab-28137788,39.45318,-106.04167
417659,ab-28138490,39.60373,-104.88233
417660,ab-28138763,38.85717,-104.88159
417661,ab-28139139,39.9404,-105.08568
417662,ab-28143283,39.64205,-106.39234
417663,ab-2814600,40.365,-105.537
417664,ab-28147516,39.62374000000001,-106.54052
417665,ab-28149659,39.38751,-107.21003
417666,ab-28149945,39.61793,-106.08905
417667,ab-2815022,39.67951,-104.98412
417668,ab-28150524,40.04981,-105.24932
417669,ab-28151064,39.72718,-104.83086
417670,ab-28151431,39.781896762805296,-105.095064806988
417671,ab-28152551,38.99481,-104.78913
417672,ab-28152667,38.946324289026094,-104.68482953842437
417673,ab-28152731,39.75249,-104.9955
417674,ab-28153013,38.94592040633568,-104.68637764520572
417675,ab-28153021,39.82983,-105.05145
417676,ab-28153187,39.46219,-107.3259
417677,ab-28153322,39.60154,-105.97836
417678,ab-28153617,39.76493,-105.01017
417679,ab-28154335,39.607,-105.958
417680,ab-28155127,39.60194,-105.97831
417681,ab-28155131,39.18588,-106.82143
417682,ab-28155599,38.25409000000001,-104.66779
417683,ab-28155661,38.84924,-104.8532
417684,ab-28156233,39.59396,-106.09255
417685,ab-28156384,39.61877,-106.08893
417686,ab-28156761,39.47539,-106.05529
417687,ab-2815690,39.645,-106.398
417688,ab-28158425,39.81513943856992,-105.08319444726465
417689,ab-2815919,40.44897300511431,-106.79607350021011
417690,ab-28159468,40.03983,-105.28706
417691,ab-28159822,38.02069,-107.67336
417692,ab-28159823,37.79426,-106.31615
417693,ab-28159852,39.24177,-106.01297
417694,ab-28159901,39.51106,-107.31862
417695,ab-28160730,39.51756,-104.73961
417696,ab-28160954,39.93266460179221,-105.08609603233676
417697,ab-2816154,40.45267296091907,-106.80640668057194
417698,ab-28161808,38.86633,-107.5981
417699,ab-2816233,40.45204894556288,-106.8033175017096
417700,ab-2816270,40.48863663337985,-106.83738888277352
417701,ab-2816332,40.45359145576673,-106.80451668257896
417702,ab-2816378,40.45187749022527,-106.80475204764296
417703,ab-28164772,39.68848,-104.93759
417704,ab-28165439,40.36011,-105.55013999999998
417705,ab-28165441,40.333,-105.508
417706,ab-28165442,38.80677077938343,-105.4202781062872
417707,ab-28166807,39.87717,-104.99748999999998
417708,ab-28168248,39.60524880548947,-106.51880276424784
417709,ab-28168257,39.62868840977101,-106.53078626254413
417710,ab-28169903,39.74857,-104.87015
417711,ab-2817031,40.48356,-104.90439
417712,ab-28171445,39.62979,-104.78213
417713,ab-28173879,40.45587,-106.81595
417714,ab-28174440,39.47276693286636,-106.04561292784032
417715,ab-28175551,38.86119769047161,-104.81039861392726
417716,ab-28176319,37.31864,-107.12776
417717,ab-28176524,37.36524,-107.6879
417718,ab-28177146,38.73436,-106.76888
417719,ab-2817786,39.74687,-104.97561
417720,ab-28178678,39.47239,-106.04413
417721,ab-28178904,39.10228,-104.87886
417722,ab-28179126,38.25463,-104.66782
417723,ab-28179714,40.93,-102.637
417724,ab-2817973,40.45225533154614,-106.79961887579108
417725,ab-28179788,39.87896,-104.93602
417726,ab-2817988,40.4549221259927,-106.83179139274836
417727,ab-28180229,40.03079,-105.26287
417728,ab-28180287,38.76791,-106.15328
417729,ab-2818031,40.48987284155668,-106.83067571821748
417730,ab-28180468,39.79781,-105.07388
417731,ab-2818050,40.44373781726286,-106.8058312814863
417732,ab-28180826,39.70314662185537,-104.9847717329752
417733,ab-28181042,39.67986354889555,-104.93428302709188
417734,ab-28181709,39.68082711549625,-104.9339810571221
417735,ab-28182059,39.95687,-105.50831
417736,ab-28183262,40.57443,-105.0758
417737,ab-28184028,38.95617,-105.479
417738,ab-28184367,38.80153,-104.84601
417739,ab-28184536,39.571,-106.094
417740,ab-28184879,38.88343,-105.15802
417741,ab-2818495,39.59725,-104.94595
417742,ab-28184989,40.58915,-104.9115
417743,ab-28185324,39.78662,-104.89632
417744,ab-28185657,39.76596,-104.97189
417745,ab-28186151,39.91467,-105.7866
417746,ab-28186253,38.84533,-104.84468
417747,ab-28186352,38.927,-104.751
417748,ab-28187048,39.6329,-104.75993
417749,ab-28187142,40.00779,-105.28374
417750,ab-28187925,39.6881209270676,-104.97597612144344
417751,ab-28188488,39.18822,-106.81338999999998
417752,ab-28188959,40.04509,-105.24756
417753,ab-28189106,40.337,-105.53
417754,ab-28189107,40.339,-105.532
417755,ab-28189990,39.11693,-104.91164
417756,ab-28198510,39.67051,-104.76919
417757,ab-28198973,40.377,-105.54
417758,ab-28199400,39.91302,-105.4352
417759,ab-28200226,39.91540847419535,-105.3882623763532
417760,ab-28200553,39.77647,-105.0366
417761,ab-28201468,37.655,-107.811
417762,ab-28202839,40.09352,-105.00008
417763,ab-28202884,39.426,-106.044
417764,ab-28202899,39.94666,-105.80758
417765,ab-28203745,39.98196,-105.25401
417766,ab-28204190,39.600418583306855,-104.88067827692416
417767,ab-28204801,39.75904553391415,-104.97797845946198
417768,ab-28205601,39.91626504379485,-105.79233272420744
417769,ab-28205674,38.94278,-104.84631
