,Property ID,Latitude,Longitude
1159200,ab-33849958,42.61051,-71.33796
1159201,ab-33851162,42.40523,-71.05198
1159202,ab-33852482,41.75854,-70.11123
1159203,ab-33852583,42.05777,-70.18443
1159204,ab-33854578,42.35253,-71.14169
1159205,ab-33854663,41.67507,-70.04646
1159206,ab-33855197,42.50454000000001,-70.85481999999998
1159207,ab-3385822,41.2624,-70.01217
1159208,ab-33858768,41.46194000000001,-70.56378000000002
1159209,ab-3386263,42.32699850030953,-71.20506115513749
1159210,ab-33871636,41.53106,-70.66637
1159211,ab-33873411,42.25227,-71.12859
1159212,ab-33873653,42.38888,-71.05083
1159213,ab-33874191,41.72463,-70.16839
1159214,ab-33874839,41.74867,-70.04815
1159215,ab-33875010,42.37626,-71.2116
1159216,ab-33875128,41.74371,-70.65142
1159217,ab-33875381,41.92202,-70.54066999999998
1159218,ab-33876510,41.61954,-70.85785
1159219,ab-33876835,41.65482,-70.61734
1159220,ab-33877155,42.39951,-71.23416999999998
1159221,ab-33878079,42.33494,-71.04398
1159222,ab-33878316,42.36009,-71.1278
1159223,ab-33878816,42.78129000000001,-71.07203
1159224,ab-33878887,42.054,-70.189
1159225,ab-33879040,42.39948,-71.10503
1159226,ab-33879589,42.05811,-70.18368000000001
1159227,ab-33880188,41.73878,-70.42453
1159228,ab-33880396,42.39934,-71.23603
1159229,ab-33880518,42.29493,-71.59661
1159230,ab-33880761,42.4002,-71.23626999999998
1159231,ab-33880960,42.05592,-70.18329
1159232,ab-33881108,42.4002,-71.23449000000002
1159233,ab-33881245,41.89078,-69.99261
1159234,ab-33883198,42.2266,-71.75516
1159235,ab-33883586,42.38991,-71.05108
1159236,ab-33885281,42.3263,-71.10405
1159237,ab-33886970,42.27163,-71.61524
1159238,ab-33895517,41.70004,-70.28069
1159239,ab-3389633,41.631547041094045,-70.44583747375987
1159240,ab-33896485,42.15425,-72.56309
1159241,ab-33899880,42.37599,-71.18127
1159242,ab-33904212,42.3551,-73.27721
1159243,ab-33904230,42.41769,-71.05219
1159244,ab-33905192,42.3254,-71.10528000000002
1159245,ab-33905285,41.56844,-70.62206
1159246,ab-33905977,41.9322,-70.02775
1159247,ab-33907224,42.3643,-71.18181
1159248,ab-33908296,41.63752,-70.98635999999998
1159249,ab-33908737,42.36186,-71.13293
1159250,ab-33908766,42.38733,-71.11652
1159251,ab-33909639,41.69003,-69.95931999999999
1159252,ab-33911547,42.2136,-71.00368
