,Property ID,Latitude,Longitude
1123200,ab-28574253,39.23831,-76.60985
1123201,ab-28575677,38.8973,-76.86405
1123202,ab-28576931,39.23698,-76.61049
1123203,ab-28580163,39.1185,-76.71263
1123204,ab-28580373,39.39692,-76.82303
1123205,ab-28583367,38.91622424712276,-76.82846186040015
1123206,ab-28584022,38.892,-76.36399999999998
1123207,ab-28584392,38.97471,-76.73393
1123208,ab-28584664,38.82611548832102,-76.89924028078528
1123209,ab-28585560,39.19978,-76.62043
1123210,ab-28585668,39.08659,-77.16833000000003
1123211,ab-28587244,38.97895,-76.997
1123212,ab-28589114,39.01627,-77.12491
1123213,ab-28589699,38.97146,-76.8862
1123214,ab-28590024,39.01488,-77.12549
1123215,ab-28602348,39.63834846749531,-77.72141665492231
1123216,ab-28603250,38.8942,-76.5935
1123217,ab-28604010,38.37048,-75.07268
1123218,ab-28604435,39.5462,-79.36416
1123219,ab-28604508,39.50149,-79.29485
1123220,ab-28604509,39.49767,-79.28669000000002
1123221,ab-28605945,38.44935,-75.0571
1123222,ab-28606260,38.86531,-76.88393
1123223,ab-28608784,39.091664690819,-77.11151742844869
1123224,ab-28610490,39.03191,-77.04053
1123225,ab-28610838,38.57311,-76.0786
1123226,ab-28611048,38.39707,-75.06184
1123227,ab-28611201,38.97655,-76.49074
1123228,ab-28611925,38.32353309684997,-76.50816569378358
1123229,ab-28614692,39.08832,-77.07708000000002
1123230,ab-28615569,39.28469000000001,-76.58455
1123231,ab-28616,38.98096078168917,-77.01065992307137
1123232,ab-28633226,39.30202,-76.64114000000002
1123233,ab-28634710,38.99986,-76.47648000000002
1123234,ab-28635839,38.89858740099285,-76.85536725341053
1123235,ab-28638444,39.57156,-76.61333
1123236,ab-2863905,38.97694,-76.51189000000002
1123237,ab-28639162,38.7030655457581,-76.53463966650871
1123238,ab-28639739,39.09388,-76.82284
1123239,ab-28640448,39.42510012741592,-76.30281160892348
1123240,ab-28640932,38.39251,-75.06381
1123241,ab-28643014,39.05024,-77.09631999999998
1123242,ab-28646751,39.28257823209489,-76.56902966537126
1123243,ab-28646754,38.98998,-76.95867
1123244,ab-28656326,39.284322347469846,-76.62926655791169
1123245,ab-28656597,38.97939,-76.51333000000002
1123246,ab-28662598,38.58781,-76.09076999999998
1123247,ab-28663416,38.77852,-77.01186
1123248,ab-28668557,38.94928,-76.70944
1123249,ab-28678507,38.858,-76.889
1123250,ab-28682594,39.0118,-76.53243
1123251,ab-28686235,38.24439,-76.77741
1123252,ab-28686347,38.24374,-76.77693000000002
1123253,ab-28687947,38.90196,-76.87637
1123254,ab-28695681,39.28565,-76.5941
1123255,ab-28696359,38.32840121012271,-75.11643564190756
1123256,ab-28697724,39.29027,-76.58959
1123257,ab-28709268,38.85206,-76.7339
1123258,ab-28709444,38.24569,-76.7791
1123259,ab-28710076,39.32606,-76.61341999999998
1123260,ab-28712040,39.08869,-77.03036
1123261,ab-28713940,39.37992,-76.78693
1123262,ab-28716149,39.42285,-77.41113
1123263,ab-28716317,38.71636,-76.94884
1123264,ab-28716683,39.26650399678952,-76.65011993704596
1123265,ab-28718773,38.40087,-76.49984
1123266,ab-28718811,38.78513,-76.99587
1123267,ab-28718821,39.14912,-76.62679
1123268,ab-28719451,39.27979942284597,-76.6382299352306
1123269,ab-28720356,38.938,-76.956
1123270,ab-2872187,38.98144,-76.50533
1123271,ab-28731252,39.32905,-76.38369
1123272,ab-28732363,38.37625,-75.06971999999998
1123273,ab-28735770,38.39521,-75.1592
1123274,ab-28736902,38.39637000000001,-75.16085
1123275,ab-28753410,38.96092,-76.99243
1123276,ab-28756364,39.02054,-76.49463
1123277,ab-28756819,39.42536,-77.43952
1123278,ab-28757601,38.9899,-76.96004
1123279,ab-28757663,38.69506,-76.53709
1123280,ab-28757845,39.05833,-77.00278
1123281,ab-28758414,38.96999021709762,-76.47762086167644
1123282,ab-28761103,39.25575,-76.40793000000002
1123283,ab-28761260,39.222089765057135,-77.27215232647953
1123284,ab-28761512,39.51707,-79.32845
1123285,ab-28763100,39.31141,-76.63552
1123286,ab-28765044,39.08744,-76.94246
1123287,ab-28777069,38.9021,-76.87278
1123288,ab-28777208,39.1305,-77.23486
1123289,ab-28779317,38.40497,-75.06079
1123290,ab-28784798,39.34731,-76.59406
1123291,ab-28787267,38.843,-76.734
1123292,ab-28787433,39.45482,-76.7922
1123293,ab-28800091,38.94813,-76.56482
1123294,ab-28802498,39.02901,-77.10746999999998
1123295,ab-28802614,39.64354,-79.03495
1123296,ab-28804669,39.282,-76.59100000000002
1123297,ab-28806849,39.28668,-76.63498
1123298,ab-28806974,38.6,-76.923
1123299,ab-28807840,39.282,-76.577
1123300,ab-28809183,39.4945,-79.26423
1123301,ab-28809187,39.52949,-79.34164
1123302,ab-28810047,38.99207,-76.51272
1123303,ab-28811014,39.28274,-76.57194
1123304,ab-28812675,39.58625375117051,-77.72163521802204
1123305,ab-28812880,39.30211840391728,-76.61290389555606
1123306,ab-28812884,38.16654000000001,-76.54395
1123307,ab-28816508,39.32637,-76.62968000000002
1123308,ab-28818531,38.78171519133529,-76.9533217250715
1123309,ab-2882102,38.67619000000001,-76.89161
1123310,ab-28833729,38.95955,-76.49298
1123311,ab-28835658,38.9511616599258,-76.87631298422659
1123312,ab-28839459,39.02956,-77.07885
1123313,ab-28845766,39.38208,-76.77753
1123314,ab-28846854,39.35791,-76.68178
1123315,ab-2885707,39.26194,-76.49433
1123316,ab-28857156,39.32219,-76.79924
1123317,ab-28860629,39.17601,-76.78349
1123318,ab-28861368,38.9068822458375,-76.92521321903544
1123319,ab-28863329,38.95124435741933,-76.87760473019993
1123320,ab-28866606,38.42031,-75.06142
1123321,ab-28866886,38.94498,-76.84904
1123322,ab-28867503,38.57538,-76.08267
1123323,ab-28867866,39.12607,-76.18773
1123324,ab-28868149,39.00924000000001,-76.4379
1123325,ab-2886960,39.17503,-76.92873
1123326,ab-28883115,39.30624,-76.63231
1123327,ab-28887549,38.95314000000001,-76.51883000000002
1123328,ab-28888520,38.33826,-75.08386999999998
1123329,ab-28890570,39.34455,-79.433
1123330,ab-28892904,38.97342,-76.76954
1123331,ab-28893152,39.27741,-76.60471
1123332,ab-28893159,39.097527985272656,-76.87928509680665
1123333,ab-28894339,39.03568864644507,-76.67672667775719
1123334,ab-28895639,38.79367,-76.99176999999997
1123335,ab-28895713,39.40484,-77.46378
1123336,ab-28907893,38.45004,-75.05991
1123337,ab-28909025,38.331,-75.087
1123338,ab-28911846,39.21173,-76.07061999999998
1123339,ab-28913007,38.90752001281511,-76.92502500088645
1123340,ab-28915963,38.48158,-77.22601
1123341,ab-28916302,39.2914,-76.59831
1123342,ab-28933502,39.29385336043745,-76.5865157071463
1123343,ab-28935680,39.36363,-76.61206999999997
1123344,ab-28936827,38.86045,-76.92904
1123345,ab-28940285,38.98717,-77.08556
1123346,ab-28940908,39.69207,-79.03385
1123347,ab-28946986,38.81973,-76.8062
1123348,ab-28949783,38.9748,-76.49283
1123349,ab-28950479,39.0859,-76.86655999999998
1123350,ab-28951550,39.57445,-76.20794000000002
1123351,ab-28951985,38.93983,-76.45192
1123352,ab-28952077,39.57314,-76.20647
1123353,ab-2895288,38.9626,-77.13048
1123354,ab-28953766,38.95507,-76.51852
1123355,ab-28954480,39.50122,-76.47901999999998
1123356,ab-28956427,38.88521593359154,-76.905928714584
1123357,ab-28957006,39.41016,-77.49484
1123358,ab-28959757,38.98566,-77.09356
1123359,ab-28963204,38.31988,-75.21798000000003
1123360,ab-28963259,39.08779000000001,-77.21446
1123361,ab-28964047,39.09449635103347,-76.92004379596197
1123362,ab-28964101,39.55658,-79.35162
1123363,ab-28965549,38.39568,-75.06408
1123364,ab-28965710,39.49515425173792,-76.5871783872682
1123365,ab-28973044,38.96791,-76.49585
1123366,ab-28975347,38.91526,-76.80714
1123367,ab-2897576,39.07611,-77.11674000000002
1123368,ab-28976781,39.423,-77.433
1123369,ab-28980489,38.877687504145385,-76.92734125972426
1123370,ab-2898113,38.83058,-76.89925
1123371,ab-28982080,39.45245,-75.89609
1123372,ab-28983123,38.36235,-76.42641
1123373,ab-28985546,39.00656414616452,-76.78951117779536
1123374,ab-28985735,38.83647,-76.96691
1123375,ab-2898690,39.2950344694174,-76.61766646203709
1123376,ab-28987343,39.33278,-76.7256
1123377,ab-2898851,39.277489532454354,-76.61330490926814
1123378,ab-28988758,38.99168,-76.86383000000002
1123379,ab-289908,39.2738,-76.59904
1123380,ab-289909,39.26966,-76.60699
1123381,ab-28996015,39.29253,-76.58219
1123382,ab-29001689,39.46074,-77.31015
1123383,ab-29001981,38.4378,-75.05375
1123384,ab-29002355,38.96041,-76.88011999999998
1123385,ab-29004186,39.29267,-76.57373
1123386,ab-29006706,39.36596,-76.6051
1123387,ab-29006802,39.09341,-76.57455999999998
1123388,ab-29007172,39.09177,-76.57385
1123389,ab-29007441,39.0916,-76.5737
1123390,ab-29008449,38.79178,-77.00839
1123391,ab-29013148,39.283,-76.624
1123392,ab-29014965,39.20494,-76.8235
1123393,ab-29015792,39.292590962714094,-76.58155224017206
1123394,ab-29025297,38.56954,-76.2315
1123395,ab-29030533,39.20144000000001,-77.24216
1123396,ab-29031725,38.9858,-77.09434
1123397,ab-29032324,38.98045,-76.6625
1123398,ab-29035147,38.82232,-76.90666999999998
1123399,ab-29035864,39.3399,-76.56718000000002
1123400,ab-29036195,39.28188591674193,-76.62468492685909
1123401,ab-2904017,39.32012615565727,-76.61700718659101
1123402,ab-29046937,39.29556,-76.58855
1123403,ab-29048280,38.28816,-76.6362
1123404,ab-29051200,39.18539000000001,-76.89273
1123405,ab-29053229,39.28254,-76.63084
1123406,ab-29055408,39.03276,-77.04618
1123407,ab-29055443,38.38976,-75.07074
1123408,ab-29055444,38.39164,-75.07058
1123409,ab-29055560,39.146,-76.705
1123410,ab-29061437,38.96506,-76.91403000000003
1123411,ab-29061548,39.62864,-79.31989
1123412,ab-29066020,39.2839,-76.55214000000002
1123413,ab-2906944,38.9587772621156,-77.09732832262848
1123414,ab-29072690,39.29328,-76.57988
1123415,ab-29076048,38.93961,-76.9599
1123416,ab-29078970,39.02601,-76.68177
1123417,ab-29079179,38.93870730085081,-76.48359089156277
1123418,ab-29079192,39.13021,-76.70518
1123419,ab-29080279,39.32638,-76.61515
1123420,ab-29080635,39.28629,-76.60091
1123421,ab-29080659,39.17035,-77.24269
1123422,ab-29080674,38.96778,-76.91657
1123423,ab-29081185,38.84344,-76.94931
1123424,ab-29081262,39.10271,-76.92965
1123425,ab-29084168,39.09225,-77.2429
1123426,ab-29086305,39.10656,-76.81791
1123427,ab-2908924,39.54726,-79.35906
1123428,ab-29092349,39.26945,-76.59528
1123429,ab-29094203,38.84556,-76.94829
1123430,ab-29094829,38.84363,-76.94983
1123431,ab-29095031,39.31256,-76.63436
1123432,ab-29097708,38.95009,-76.94716
1123433,ab-29099919,39.69128413027772,-78.62878761374364
1123434,ab-29101486,38.41672,-75.05664
1123435,ab-29102081,39.28783,-76.5693
1123436,ab-29102505,39.12423,-76.84625
1123437,ab-29106645,39.26576,-76.6794
1123438,ab-29111532,38.93688284651054,-76.96124150051232
1123439,ab-29115443,39.19797,-76.6046
1123440,ab-29119165,39.09124452608789,-76.97962541652113
1123441,ab-29119670,38.98895625016945,-76.87147631233016
1123442,ab-29122936,39.28362,-76.58527
1123443,ab-29124266,38.97982674693817,-76.7784428553075
1123444,ab-29130512,39.01459000000001,-77.04605
1123445,ab-29131127,38.3239,-75.21925999999998
1123446,ab-2914621,39.00098,-77.0346
1123447,ab-2914623,38.99891,-77.03575
1123448,ab-29154521,38.99177637318992,-76.5245226683368
1123449,ab-29154641,38.78780801526433,-77.00198965766896
1123450,ab-29158139,39.00701,-77.10374
1123451,ab-29159088,38.76712,-76.92833
1123452,ab-29159143,38.72,-76.98227
1123453,ab-29162589,39.087777055053024,-76.86590894807534
1123454,ab-29163468,39.70861,-77.11386
1123455,ab-29164477,38.94397,-76.7276
1123456,ab-29174839,38.98038,-77.11039
1123457,ab-29175566,38.97657,-76.50593
1123458,ab-29177696,39.03003,-76.98459
1123459,ab-29179335,38.78293,-76.858
1123460,ab-2918097,39.1754,-76.93052
1123461,ab-29182966,39.03097,-76.98529
1123462,ab-29183182,38.78345,-76.85816
1123463,ab-29183764,38.78179,-76.85665999999998
1123464,ab-29184147,38.99898,-76.96774
1123465,ab-29184695,38.78155,-76.85684
1123466,ab-29185667,39.509,-79.32300000000002
1123467,ab-29185671,39.50852,-79.32361
1123468,ab-29185672,39.509,-79.32300000000002
