,Property ID,Latitude,Longitude
1256400,ab-28516684,46.53592,-112.10557
1256401,ab-28517299,45.29247,-111.40231
1256402,ab-28517563,48.39013,-114.21341
1256403,ab-28537129,47.83569,-115.5883
1256404,ab-28538681,45.26299,-111.30809
1256405,ab-28542031,46.19085,-114.06025
1256406,ab-28542987,46.69600000000001,-111.832
1256407,ab-28560010,46.8788,-114.00716
1256408,ab-28563015,48.76784,-114.85256
1256409,ab-28565158,45.88915,-111.55071
1256410,ab-28575373,44.65419,-111.10118
1256411,ab-28575445,44.65436,-111.10127
1256412,ab-28575471,44.65429,-111.10007
1256413,ab-28579303,46.87605127344312,-113.9370113723616
1256414,ab-28588375,48.41255,-114.34005
1256415,ab-28598603,48.06783,-114.27005
1256416,ab-28601585,45.8976661745812,-114.18265520007532
1256417,ab-28604892,47.58437,-113.75414
1256418,ab-28608910,45.28671,-111.39991
1256419,ab-28609117,45.26943,-111.2989
1256420,ab-28610603,48.06317,-114.07176
1256421,ab-28626917,44.65577,-111.10049
1256422,ab-28626951,44.65563,-111.10202
1256423,ab-28626961,44.65389,-111.1013
1256424,ab-28628567,45.67714,-111.04101
1256425,ab-28630495,48.03372,-115.86492
1256426,ab-28632309,48.37629,-114.1839
1256427,ab-28635357,48.20676,-114.33655
1256428,ab-2865292,45.16193,-112.67965
1256429,ab-28658549,45.74199,-108.55396
1256430,ab-28660922,45.19058,-109.24943
1256431,ab-28663820,45.18433,-109.23595
1256432,ab-28665124,45.19647,-110.9076
1256433,ab-28665685,46.86254,-114.43081
1256434,ab-28689682,48.22895603231076,-114.31269572400038
1256435,ab-28694022,45.29009,-111.39914
1256436,ab-28694064,47.60404650264676,-111.96605023585964
1256437,ab-28696758,46.85189,-113.99973
1256438,ab-28712794,45.66693,-108.77935
1256439,ab-28717794,45.66675,-108.77921
1256440,ab-28719693,45.6875,-111.10615
1256441,ab-28719836,45.6864,-111.10433
1256442,ab-28730021,46.88938,-113.96018
1256443,ab-28736422,45.19848,-109.2576
1256444,ab-2874731,45.62851,-110.59695
1256445,ab-28756537,47.09656,-114.04203
1256446,ab-28758241,46.72555,-111.89578
1256447,ab-28758395,46.6634,-111.71084
1256448,ab-28758399,48.48251,-114.35839
1256449,ab-28762408,47.50004000000001,-111.27502
1256450,ab-28773755,44.65526,-111.10026
1256451,ab-28779461,48.12348,-114.94975
1256452,ab-28780265,46.01111,-112.5487
1256453,ab-28781368,48.06329,-114.07133
1256454,ab-28781594,48.06304,-114.07101000000002
1256455,ab-28781619,48.06228,-114.07278
1256456,ab-28789899,45.67342,-111.14544
1256457,ab-28807167,45.14646,-109.33391
1256458,ab-28811763,45.29600000000001,-111.429
1256459,ab-28812168,48.77143,-104.55696
1256460,ab-28814340,48.7765,-104.55394
1256461,ab-28834033,45.66574,-110.55222
1256462,ab-28836686,48.48349755743986,-114.35724621308324
