,Property ID,Latitude,Longitude
1587600,ab-32717512,18.44717,-66.03308
1587601,ab-32719483,18.2739,-65.66155
1587602,ab-32720894,18.381,-67.219
1587603,ab-32720898,18.381,-67.219
1587604,ab-32725194,18.40295,-65.9845
1587605,ab-32734484,18.34537000000001,-67.25766999999999
1587606,ab-32735562,18.49983,-67.07149
1587607,ab-32736584,18.29922,-65.27533000000001
1587608,ab-32736954,18.29936,-65.27629
1587609,ab-32737818,18.384,-65.721
1587610,ab-32741518,18.09833,-65.49459
1587611,ab-32744301,18.24128,-67.12477
1587612,ab-32744941,18.47461,-66.32515
1587613,ab-32745802,18.508,-67.10600000000001
1587614,ab-32746901,18.45198,-66.06495
1587615,ab-32748420,18.104,-65.837
1587616,ab-32759348,18.44385,-66.02339
1587617,ab-32766451,18.41717,-66.05825
1587618,ab-32766648,18.440520000000006,-66.04999000000001
1587619,ab-32768133,18.41172000000001,-65.77803
1587620,ab-32770216,18.44895,-66.05041
1587621,ab-32772308,18.44241,-66.03405
1587622,ab-32781967,18.06118,-65.82415999999999
1587623,ab-32786397,18.45802,-66.28806999999999
1587624,ab-32787175,18.38843,-65.75695999999999
1587625,ab-32788097,18.388,-65.985
1587626,ab-32790280,18.35704,-65.62418000000001
1587627,ab-32792174,18.43174,-66.06345
1587628,ab-32805308,18.44151,-66.01774
1587629,ab-32805877,18.34004,-67.25443
1587630,ab-32807677,18.44269,-66.0208
1587631,ab-32808083,18.31609,-67.24493000000001
1587632,ab-32811836,18.37557,-66.06801999999999
1587633,ab-32815076,18.02894,-67.16638
1587634,ab-32815606,18.02965,-67.18239
1587635,ab-32816626,18.4802,-66.91975
1587636,ab-32818327,18.16256,-65.74559
1587637,ab-32820791,17.9771,-67.21004
1587638,ab-32821346,18.47014,-66.33046999999999
1587639,ab-3283107,18.34105,-67.25561
1587640,ab-32832192,18.40609,-66.05681
1587641,ab-32837259,18.33919,-67.25461
1587642,ab-32837750,18.43005,-66.01496
1587643,ab-32838059,18.34475,-65.69714
1587644,ab-32838996,18.33984,-67.2533
1587645,ab-32839969,18.33956,-67.25452
1587646,ab-32842350,18.4061,-66.05628
1587647,ab-32843642,18.15,-65.827
1587648,ab-32846274,18.0464,-66.39947
1587649,ab-32847413,18.40794,-66.05639000000001
1587650,ab-32852831,18.47149,-67.16694
1587651,ab-32855563,18.38182,-65.74879
1587652,ab-32859148,18.26439,-65.64693
