,Property ID,Latitude,Longitude
1915200,ab-29936923,47.08706,-122.3008
1915201,ab-29941577,47.61697,-122.34528
1915202,ab-29941714,46.63957,-123.03309
1915203,ab-29941951,47.57615,-122.15187
1915204,ab-29943844,47.41161,-122.16534
1915205,ab-29943845,48.46204,-120.18183
1915206,ab-29945157,46.75306,-122.01563
1915207,ab-29945520,48.58448,-120.16793
1915208,ab-2994701,48.71248,-122.90488
1915209,ab-29949164,47.55243,-122.17896
1915210,ab-29955045,48.74445,-122.39465
1915211,ab-29957431,47.59,-120.659
1915212,ab-29959235,48.11988,-123.45026
1915213,ab-2995996,47.621,-122.297
1915214,ab-29961167,47.69577,-117.45305
1915215,ab-29961478,47.412,-122.165
1915216,ab-29961931,47.613,-122.297
1915217,ab-29962877,46.05912,-118.33239
1915218,ab-29963361,47.55575,-122.2743
1915219,ab-29963366,47.51712,-122.19544
1915220,ab-29966182,48.9223,-122.57367
1915221,ab-29966894,47.51044,-122.24135
1915222,ab-29967503,47.63336,-122.28295
1915223,ab-29968444,47.64839,-122.11311
1915224,ab-29968553,47.60867,-122.28825
1915225,ab-29969556,47.51997,-122.28607
1915226,ab-29970743,47.67722926983107,-122.17054566029624
1915227,ab-299817,47.62583,-122.29938
1915228,ab-299841,48.47298,-120.18428
1915229,ab-29984533,47.01566,-122.85609
1915230,ab-29984580,47.5495,-122.29143
1915231,ab-29985331,45.63043,-122.60735
1915232,ab-29985555,47.68139,-122.34678999999998
1915233,ab-29986857,47.65363,-122.32669
1915234,ab-2998728,47.6401,-122.36436
1915235,ab-29988381,47.36764,-123.15769
1915236,ab-29989758,47.83893,-121.63665
1915237,ab-2998982,47.33488,-122.78885
1915238,ab-29989846,47.98633,-122.39566
1915239,ab-29989956,47.588,-120.674
1915240,ab-2999063,48.09504,-122.50677
1915241,ab-29990991,47.8313,-122.29245
1915242,ab-29991088,47.84711,-122.29659
1915243,ab-29994714,48.50466,-122.619
1915244,ab-29994877,47.88158,-120.15507
1915245,ab-29996437,47.09584,-122.67036
1915246,ab-29996538,47.24864,-122.47834
1915247,ab-29996606,47.87932,-120.15392
1915248,ab-30010044,47.051450904045154,-122.92335956846156
1915249,ab-30012624,47.50319,-122.33125
1915250,ab-30012687,46.72917,-117.1877
1915251,ab-30014143,47.79617183547017,-122.0366293983732
1915252,ab-30015234,47.631,-122.369
1915253,ab-30016001,47.38357,-122.14359
1915254,ab-30016018,47.68596,-122.33568
1915255,ab-30016258,48.97174,-122.73231
1915256,ab-30017771,48.08824,-123.1958
1915257,ab-30018011,47.47466,-122.081
1915258,ab-30018066,48.66538,-122.32771
1915259,ab-30018439,47.60758,-122.33976
1915260,ab-30020895,47.45486,-122.28931
1915261,ab-30020951,47.917,-122.106
1915262,ab-30022382,47.526,-122.36505
1915263,ab-30022392,45.62038,-122.56808999999998
1915264,ab-30022628,47.64027,-122.50861
1915265,ab-30035266,47.92134,-122.08623
1915266,ab-30037901,48.76536,-122.46616000000002
1915267,ab-30038360,47.75673,-120.73799
1915268,ab-30038363,47.7374,-120.66006000000002
1915269,ab-30038366,47.80707,-120.75448
1915270,ab-30039394,46.732,-117.199
1915271,ab-30039488,47.65074,-122.08758
1915272,ab-3004007,47.69333124289886,-122.27430912483644
1915273,ab-30040823,48.77085,-122.45363
1915274,ab-30040827,48.2559,-122.47201
1915275,ab-30040832,48.38003,-122.53175
1915276,ab-30041235,47.62197232072739,-122.30443167872708
1915277,ab-30041950,47.42284,-120.32869
1915278,ab-30042309,47.2474834514283,-122.45295961536988
1915279,ab-30045383,48.51164,-122.63679
1915280,ab-30046052,47.47311,-117.34617
1915281,ab-30047384,47.67575,-122.14656
1915282,ab-30047741,47.61557,-122.34859
1915283,ab-30048966,47.5792,-122.41344
1915284,ab-30049543,47.68904000000001,-122.61803
1915285,ab-30052175,46.26685010921412,-119.29158972519406
1915286,ab-3005235,48.77179374370985,-122.4138905994865
1915287,ab-30053505,47.65638815866429,-120.64114455041272
1915288,ab-30055032,48.9873,-119.428
1915289,ab-3005570,48.89275,-121.92311
1915290,ab-30058425,46.346,-124.061
1915291,ab-30058583,46.346,-124.061
1915292,ab-30058920,46.346,-124.061
1915293,ab-30059251,46.346,-124.061
1915294,ab-30059520,46.346,-124.061
1915295,ab-30059801,47.67561,-122.15889
1915296,ab-30059975,46.346,-124.061
1915297,ab-30060605,46.346,-124.061
1915298,ab-30060929,46.346,-124.061
1915299,ab-30061062,46.346,-124.061
1915300,ab-30061090,46.72162,-117.18979
1915301,ab-30061248,46.346,-124.061
1915302,ab-30061322,46.346,-124.061
1915303,ab-30061472,48.926,-122.744
1915304,ab-30061584,48.926,-122.744
1915305,ab-30061751,48.926,-122.744
1915306,ab-30062043,48.926,-122.744
1915307,ab-30062159,48.926,-122.744
1915308,ab-30062441,48.926,-122.744
1915309,ab-30062570,48.18273,-122.58577
1915310,ab-30062618,48.926,-122.744
1915311,ab-30063060,48.926,-122.744
1915312,ab-30063773,48.472322399352606,-122.3192450899212
1915313,ab-30064070,47.68713,-122.33608
1915314,ab-30065946,47.68571,-122.33477
1915315,ab-30067443,47.66996,-122.20622
1915316,ab-30068037,47.65511,-122.38557
1915317,ab-30068332,46.9355,-122.59891
1915318,ab-30068747,45.66716,-122.62252
1915319,ab-30068827,45.66413,-122.5865
1915320,ab-30069619,47.6201559762296,-122.32716289469772
1915321,ab-30071398,47.24823,-121.17537
1915322,ab-30072837,47.61523597229653,-122.30721568818733
1915323,ab-30073214,47.74216,-122.32972
1915324,ab-30080289,46.35456,-124.05447
1915325,ab-30080897,47.95093,-122.81432
1915326,ab-30089063,47.54379245011488,-122.20877804284557
1915327,ab-30090302,48.76213,-122.42662
1915328,ab-30091135,47.67726,-122.16906000000002
1915329,ab-30091523,47.81324,-120.76982
1915330,ab-30091812,47.14384,-122.41708
1915331,ab-30092793,46.05284,-118.33482
1915332,ab-30093333,47.81155,-122.27409
1915333,ab-30101707,47.95516,-122.80075
1915334,ab-30104432,47.16139,-122.70139
1915335,ab-30105202,47.10644,-122.82773
1915336,ab-301059,47.614,-122.348
1915337,ab-30109153,46.24161,-119.26997
1915338,ab-30109348,47.51962,-122.27471
1915339,ab-30109573,47.70559,-122.37721
1915340,ab-30109719,48.11124,-121.96868
1915341,ab-30109908,47.52026,-122.27256
1915342,ab-30110410,47.68558,-122.34996
1915343,ab-30110664,47.56447,-122.09303
1915344,ab-30110865,47.2082,-122.43097
1915345,ab-30114020,47.85286,-122.23312
1915346,ab-30114679,47.6353,-122.39651
